1,102,2020-12-26 15:50:48.769111,2020-12-26 15:50:48.769111,63985475221,ALİ,ŞAHİN,45,5789632145,8963521478,alisahin@gmail.com,,8000,15
2,102,2020-12-26 16:03:29.543702,2020-12-26 16:03:29.543702,63985177221,EMİNE,SARI,32,5789214545,2063521478,emine@gmail.com,,8000,14
3,102,2020-12-26 16:03:29.543702,2020-12-26 16:03:29.543702,63985257221,BURCU,GÜNEŞ,47,5789278945,2063521487,burcu@gmail.com,,6800,11
4,101,2020-12-26 16:03:29.543702,2020-12-26 16:03:29.543702,64185177221,BARIŞ,KURT,28,9689214545,2060321478,bariskurt@gmail.com,,4000,5
5,101,2020-12-26 16:03:29.543702,2020-12-26 16:03:29.543702,63985177589,ALİ,YILMAZ,23,5789213862,2082521478,ali_yilmaz@gmail.com,,4500,11
6,101,2020-12-26 16:03:29.543702,2020-12-26 16:03:29.543702,63988577589,BEYZA,ÇİÇEK,25,5789213982,2088921478,beyza@gmail.com,,4500,11
7,101,2020-12-26 16:03:29.543702,2020-12-26 16:03:29.543702,63985172089,ŞİRİN,YURT,23,5781013862,2082561478,sirin20@gmail.com,,3800,5
8,103,2020-12-26 16:03:29.543702,2020-12-26 16:03:29.543702,63933177589,ERHAN,ÇİVİ,32,5789216662,2082588478,erhan@gmail.com,,3000,8
9,103,2020-12-26 16:03:29.543702,2020-12-26 16:03:29.543702,89985177589,SEVGİ,PARLAK,41,5969213862,2089921478,sevgi@gmail.com,,3500,11
10,103,2020-12-26 16:08:36.882884,2020-12-26 16:08:36.882884,89985120589,AYŞE,ORTAK,41,6029213862,2096921478,ayseortak@gmail.com,,3700,6
